practice_code,list_size,pct_65plus,patients_per_gp,imd_score,region,rural,pct_same_day,pct_wait_15plus
P80440,9693,10.3,2065,17.4,East,1,23.5,22.5
P80441,7870,23.2,2269,40.1,South East,0,33.3,20.9
P80442,2845,21.9,1872,24.0,Midlands,0,34.2,21.7
P80443,7651,17.4,1281,40.5,South East,0,32.7,21.4
P80444,4167,29.1,1960,41.7,South West,0,31.3,22.3
P80445,11181,11.6,1539,43.3,North East,0,39.9,13.7
P80446,9609,8.8,1589,46.1,South East,0,46.1,23.4
P80447,5000,13.8,2035,23.3,London,0,35.9,34.5
P80448,6187,17.7,2295,18.0,London,0,29.5,24.7
P80449,4710,19.5,1809,30.4,Yorkshire,1,45.5,16.6
P80450,7753,16.6,1924,20.4,East,0,36.9,23.1
P80451,12897,20.1,2481,31.3,South West,0,30.3,26.1
P80452,4886,10.5,1896,36.2,North East,0,30.1,28.1
P80453,10293,26.7,2841,35.4,North East,0,21.5,21.3
P80454,6136,17.5,2026,20.6,South West,0,36.6,25.0
P80455,5381,24.7,1096,10.8,North West,1,52.6,16.2
P80456,7583,20.1,2101,23.2,North West,1,40.8,19.8
P80457,4767,20.7,1952,9.7,Midlands,0,38.8,21.8
P80458,6065,21.4,2316,44.8,London,1,27.6,30.1
P80459,4395,20.7,2069,19.3,Yorkshire,1,45.9,23.3
P80460,21366,21.9,1745,10.3,Midlands,1,38.2,12.8
P80461,8142,26.0,1310,4.2,South East,1,55.6,17.6
P80462,5638,19.2,1716,33.4,East,0,34.1,21.1
P80463,8903,22.3,1460,32.9,London,0,34.2,23.0
P80464,7563,17.5,1568,19.0,London,0,30.0,22.9
P80465,7163,26.6,2035,6.4,North West,0,38.9,19.4
P80466,10875,13.9,2468,22.3,London,1,39.5,30.5
P80467,11683,28.8,1958,17.6,South West,0,44.6,20.0
P80468,6136,17.8,1322,34.8,Midlands,0,48.8,15.1
P80469,5998,9.4,1978,31.5,London,1,38.9,22.9
P80470,6972,18.8,2279,20.1,Yorkshire,1,33.5,21.8
P80471,2530,13.9,1556,13.2,South East,1,44.1,22.4
P80472,3750,23.0,1746,49.4,South East,0,33.9,24.8
P80473,15845,14.1,1806,24.3,South East,0,47.7,18.2
P80474,18209,15.3,1486,35.3,South East,0,34.0,30.7
P80475,7063,6.7,2059,9.6,London,0,39.7,26.5
P80476,10673,15.3,1752,25.8,North West,0,45.5,26.4
P80477,9347,5.0,1968,4.3,Yorkshire,0,50.5,21.1
P80478,37295,8.5,1445,26.8,South East,1,42.0,20.6
P80479,14002,22.6,1625,48.3,North West,0,43.9,25.1
P80480,7504,22.7,2089,21.1,North West,0,52.9,26.7
P80481,4961,20.6,1651,4.8,North East,0,40.6,22.8
P80482,3583,12.2,2491,4.5,East,0,27.2,27.1
P80483,8856,17.7,1640,21.2,South East,0,30.7,18.9
P80484,5480,18.0,1890,10.5,South West,1,48.6,16.2
P80485,3928,11.0,2173,4.1,North West,0,27.5,23.4
P80486,5790,27.0,1233,38.5,North East,1,45.3,20.3
P80487,4658,23.3,1096,24.6,South East,0,49.4,16.2
P80488,18597,16.7,1190,16.6,South West,1,50.1,19.9
P80489,12431,18.2,2305,45.3,Yorkshire,0,36.4,31.1
P80490,7968,19.3,1579,8.5,North East,0,45.6,15.0
P80491,16767,5.7,2823,47.9,Yorkshire,0,35.2,26.0
P80492,8315,16.5,1574,17.8,North West,1,40.0,17.1
P80493,5200,13.9,1874,44.8,South West,0,32.7,24.8
P80494,17132,12.0,2417,31.3,Midlands,0,29.1,23.3
P80495,10474,16.3,2602,41.9,North West,1,39.6,30.1
P80496,4762,28.8,2625,49.2,London,1,36.8,28.9
P80497,7273,21.8,2283,16.6,Midlands,0,40.7,22.7
P80498,5163,14.6,2210,48.2,North West,0,40.8,19.7
P80499,4006,21.4,2037,21.3,London,0,28.3,19.5
